"FileName","Species","Treatment","Dilution","Time","Replicate","CPML","CyanoCount","DebrisCount","ParticleCount","OtherCount","MarginCount","FParticleCount","OParticleCount","CyanoAbundance","Time2"
"#_4_400","4","400",5,2017-03-28,"1",13.9211978105263,4804,280,5435,351,306,5741,6047,55.2980273538683,1
"#_4_200","4","200",5,2017-03-28,"1",12.9028006736842,4704,100,5089,285,321,5410,5580,54.3859985385399,1
"#_4_100","4","100",5,2017-03-28,"1",11.4374741894737,4703,67,5073,303,329,5402,5599,48.0357573790809,1
"#_4_50","4","50",5,2017-03-28,"1",23.1978460631579,4793,299,5533,441,268,5801,6033,92.1492426493584,1
"#_4_25","4","25",5,2017-03-28,"1",56.8669773473684,4930,330,5570,310,169,5739,5997,233.745371287749,1
"#_4_Control","4","0",5,2017-03-28,"1",16.2437756631579,5370,1903,7604,331,1437,9041,10178,42.8517760420308,1
"#_5_400","5","400",5,2017-03-28,"1",22.3026657684211,6284,549,7480,647,389,7869,7981,87.8022501495791,1
"#_5_200","5","200",5,2017-03-28,"1",41.4937783578947,4587,377,5331,367,195,5526,5661,168.108073951301,1
"#_5_100","5","100",5,2017-03-28,"1",23.9218741894737,4557,793,5762,412,257,6019,6073,89.7513425666324,1
"#_5_50","5","50",5,2017-03-28,"1",34.5179164631579,4531,95,5006,380,121,5127,5164,151.433655591178,1
"#_5_25","5","25",5,2017-03-28,"1",73.7926290526316,4556,582,5540,402,109,5649,5838,287.940405929933,1
"#_5_Control","5","0",5,2017-03-28,"1",123.699027368421,2829,5242,8550,479,798,9348,10898,160.554481751359,1
"#_4_400","4","400",5,2017-03-28,"2",13.9211978105263,4804,280,5435,351,306,5741,6047,55.2980273538683,1
"#_4_200","4","200",5,2017-03-28,"2",12.9028006736842,4704,100,5089,285,321,5410,5580,54.3859985385399,1
"#_4_100","4","100",5,2017-03-28,"2",11.4374741894737,4703,67,5073,303,329,5402,5599,48.0357573790809,1
"#_4_50","4","50",5,2017-03-28,"2",23.1978460631579,4793,299,5533,441,268,5801,6033,92.1492426493584,1
"#_4_25","4","25",5,2017-03-28,"2",56.8669773473684,4930,330,5570,310,169,5739,5997,233.745371287749,1
"#_4_Control","4","0",5,2017-03-28,"2",16.2437756631579,5370,1903,7604,331,1437,9041,10178,42.8517760420308,1
"#_5_400","5","400",5,2017-03-28,"2",22.3026657684211,6284,549,7480,647,389,7869,7981,87.8022501495791,1
"#_5_200","5","200",5,2017-03-28,"2",41.4937783578947,4587,377,5331,367,195,5526,5661,168.108073951301,1
"#_5_100","5","100",5,2017-03-28,"2",23.9218741894737,4557,793,5762,412,257,6019,6073,89.7513425666324,1
"#_5_50","5","50",5,2017-03-28,"2",34.5179164631579,4531,95,5006,380,121,5127,5164,151.433655591178,1
"#_5_25","5","25",5,2017-03-28,"2",73.7926290526316,4556,582,5540,402,109,5649,5838,287.940405929933,1
"#_5_Control","5","0",5,2017-03-28,"2",123.699027368421,2829,5242,8550,479,798,9348,10898,160.554481751359,1
"#_4_400","4","400",5,2017-03-28,"3",13.9211978105263,4804,280,5435,351,306,5741,6047,55.2980273538683,1
"#_4_200","4","200",5,2017-03-28,"3",12.9028006736842,4704,100,5089,285,321,5410,5580,54.3859985385399,1
"#_4_100","4","100",5,2017-03-28,"3",11.4374741894737,4703,67,5073,303,329,5402,5599,48.0357573790809,1
"#_4_50","4","50",5,2017-03-28,"3",23.1978460631579,4793,299,5533,441,268,5801,6033,92.1492426493584,1
"#_4_25","4","25",5,2017-03-28,"3",56.8669773473684,4930,330,5570,310,169,5739,5997,233.745371287749,1
"#_4_Control","4","0",5,2017-03-28,"3",16.2437756631579,5370,1903,7604,331,1437,9041,10178,42.8517760420308,1
"#_5_400","5","400",5,2017-03-28,"3",22.3026657684211,6284,549,7480,647,389,7869,7981,87.8022501495791,1
"#_5_200","5","200",5,2017-03-28,"3",41.4937783578947,4587,377,5331,367,195,5526,5661,168.108073951301,1
"#_5_100","5","100",5,2017-03-28,"3",23.9218741894737,4557,793,5762,412,257,6019,6073,89.7513425666324,1
"#_5_50","5","50",5,2017-03-28,"3",34.5179164631579,4531,95,5006,380,121,5127,5164,151.433655591178,1
"#_5_25","5","25",5,2017-03-28,"3",73.7926290526316,4556,582,5540,402,109,5649,5838,287.940405929933,1
"#_5_Control","5","0",5,2017-03-28,"3",123.699027368421,2829,5242,8550,479,798,9348,10898,160.554481751359,1
"#_4_400_1","4","400",5,2017-03-31,"1",148.7614889,4799,4689,10308,820,1989,12297,14311,249.42575125117,4
"#_4_400_2","4","400",5,2017-03-31,"2",105.2235705,4337,4124,9048,587,1913,10961,13016,175.305249407844,4
"#_4_400_3","4","400",5,2017-03-31,"3",103.8952252,4743,3719,9100,638,1687,10787,12228,201.494542494112,4
"#_4_200_1","4","200",5,2017-03-31,"1",157.4347934,3995,1858,6356,503,1790,8146,9629,326.592584709212,4
"#_4_200_2","4","200",5,2017-03-31,"2",104.8419018,4584,2506,7710,620,1479,9189,10341,232.373695895561,4
"#_4_200_3","4","200",5,2017-03-31,"3",63.23383741,4005,1058,5602,539,1444,7046,7822,161.884120958227,4
"#_4_100_1","4","100",5,2017-03-31,"1",286.2647859,3853,1424,5731,454,1646,7377,8744,630.705752557582,4
"#_4_100_2","4","100",5,2017-03-31,"2",278.0545569,3676,1202,5313,435,1775,7088,8070,633.289065157621,4
"#_4_100_3","4","100",5,2017-03-31,"3",280.8878439,3763,1148,5378,467,1609,6987,7934,666.10849293906,4
"#_4_50_1","4","50",5,2017-03-31,"1",149.6277783,5093,2350,8133,690,1727,9860,11895,320.325462329508,4
"#_4_50_2","4","50",5,2017-03-31,"2",130.51186,5502,2722,8911,687,2381,11292,14113,254.402413987104,4
"#_4_50_3","4","50",5,2017-03-31,"3",137.569738,3898,1244,5720,578,1650,7370,9027,297.023838885566,4
"#_4_25_1","4","25",5,2017-03-31,"1",114.3361525,4071,1704,6711,936,1497,8208,9989,232.98752469091,4
"#_4_25_2","4","25",5,2017-03-31,"2",214.2528476,7517,5168,13566,881,2087,15653,17731,454.159002709717,4
"#_4_25_3","4","25",5,2017-03-31,"3",179.5619296,4301,1701,6765,763,1401,8166,9405,410.577277623392,4
"#_4_Control_1","4","0",5,2017-03-31,"1",845.7306945,6880,25963,33541,698,6582,40123,58515,497.191077344271,4
"#_4_Control_2","4","0",5,2017-03-31,"2",919.6148164,6322,25003,32005,680,5892,37897,51560,563.790231699069,4
"#_4_Control_3","4","0",5,2017-03-31,"3",901.5907104,7352,35714,43751,685,6835,50586,67168,493.426550058123,4
"#_5_400_1","5","400",5,2017-03-31,"1",239.4473022,1356,18058,19539,125,3001,22540,29617,54.8148937743863,4
"#_5_400_2","5","400",5,2017-03-31,"2",234.762913,1406,16046,17608,156,3279,20887,29037,56.8372517267624,4
"#_5_400_3","5","400",5,2017-03-31,"3",242.2421409,1387,17562,19112,163,3067,22179,29962,56.0693293886089,4
"#_5_200_1","5","200",5,2017-03-31,"1",474.8528436,4340,2859,7510,311,836,8346,10581,973.849986402041,4
"#_5_200_2","5","200",5,2017-03-31,"2",546.3479091,4359,4460,9149,330,941,10090,12402,960.139709630261,4
"#_5_200_3","5","200",5,2017-03-31,"3",492.8499,4066,2887,7489,536,870,8359,10363,966.86658950111,4
"#_5_100_1","5","100",5,2017-03-31,"1",590.3572002,4155,4255,9020,610,715,9735,11729,1045.67063126908,4
"#_5_100_2","5","100",5,2017-03-31,"2",623.8867529,4307,2181,6816,328,787,7603,9288,1446.53329281885,4
"#_5_100_3","5","100",5,2017-03-31,"3",450.2020157,4344,6082,10801,375,931,11732,13906,703.177605422408,4
"#_5_50_1","5","50",5,2017-03-31,"1",376.5847687,4097,2571,6936,268,1242,8178,10476,736.382110234775,4
"#_5_50_2","5","50",5,2017-03-31,"2",569.9028855,4087,348,4750,315,802,5552,6083,1914.51018661721,4
"#_5_50_3","5","50",5,2017-03-31,"3",381.2244042,4060,2045,6428,323,1269,7697,10067,768.73501591934,4
"#_5_25_1","5","25",5,2017-03-31,"1",683.2528213,4081,198,4541,262,860,5401,5821,2395.08225710814,4
"#_5_25_2","5","25",5,2017-03-31,"2",386.6379438,4035,1507,5834,292,1374,7208,9179,849.811582543305,4
"#_5_25_3","5","25",5,2017-03-31,"3",610.9903589,4165,276,4754,313,852,5606,6209,2049.26304140643,4
"#_5_Control_1","5","0",5,2017-03-31,"1",954.6077682,4294,741,5315,280,765,6080,6800,3014.03364459618,4
"#_5_Control_2","5","0",5,2017-03-31,"2",843.4734463,4294,3019,7610,297,931,8541,10604,1707.78714561118,4
"#_5_Control_3","5","0",5,2017-03-31,"3",859.7837383,5021,783,6201,397,870,7071,7968,2708.94462224165,4
"#_4_400_1","4","400",30,2017-04-06,"1",211.682022635502,3001,14281,17586,304,3235,20821,26184,727.838851889484,10
"#_4_400_2","4","400",30,2017-04-06,"2",196.14945677633,1915,14890,17084,279,2617,19701,24263,464.443238338217,10
"#_4_400_3","4","400",30,2017-04-06,"3",357.362871136228,1936,26473,28696,287,6518,35214,44203,469.552644743391,10
"#_4_200_1","4","200",30,2017-04-06,"1",82.1349931998761,2112,4872,7163,179,1203,8366,10160,512.211926096865,10
"#_4_200_2","4","200",30,2017-04-06,"2",183.648016602175,3966,5689,10026,371,1816,11842,14348,1522.89106602501,10
